"vismedId","name","doctoraliaDoctorId","status","bookings","primeiro","ultimo"
4392,"ELETROENCEFALOGRAMA - DR. JOSE ROBERTO",NULL,"CONFIRMED",3,"2026-08-18 17:30:00","2026-08-18 18:30:00"
4011,"DR DOMINGOS RENATO IMBROISI (CARDIOLOGISTA)","393002","CONFIRMED",1,"2026-08-18 18:30:00","2026-08-18 18:30:00"
6986,"DRA. MARCELLA ALMEIDA DE SOUZA (ESTETICA)","1468803","CONFIRMED",2,"2026-08-15 14:30:00","2026-08-18 17:00:00"
6811,"DOCCTORLAB",NULL,"CONFIRMED",4,"2026-08-14 14:00:00","2026-08-18 16:00:00"
6906,"CRISTIANE CANTARINO (ESPIROMETRIA, EEG E HOLTER)","706339","CONFIRMED",6,"2026-08-14 14:20:00","2026-08-18 14:30:00"
6970,"DR. JOÃO PEDRO FRIESE ODDO (NUTRICIONISTA)","1468777","CONFIRMED",6,"2026-08-17 16:00:00","2026-08-18 13:00:00"
6735,"DR. NELSON ARAUJO DE SOUSA ( USG )","937737","CONFIRMED",12,"2026-08-18 10:30:00","2026-08-18 11:50:00"
5867,"MAPA - CAMPO VISUAL - TOX",NULL,"CONFIRMED",5,"2026-08-12 12:30:00","2026-08-18 11:30:00"
6899,"CENTROCOR EXAMES MEDICOS",NULL,"BOOKED",2,"2026-08-13 10:00:00","2026-08-18 10:00:00"
6736,"IMPERIUM MEDICUS",NULL,"BOOKED",1,"2026-08-18 10:00:00","2026-08-18 10:00:00"
6951,"DVI DIAGNOSTICO ODONTOLOGICO",NULL,"BOOKED",1,"2026-08-18 10:00:00","2026-08-18 10:00:00"
1706,"CLÍNICA RADIOLÓGICA PEDRO II",NULL,"BOOKED",2,"2026-08-17 10:00:00","2026-08-18 10:00:00"
6911,"AMBULATORIO ESCOLA UNIFASE",NULL,"BOOKED",5,"2026-08-14 10:00:00","2026-08-18 10:00:00"
2721,"DR. RAMON MARTINS (PSIQUIATRIA)",NULL,"CONFIRMED",18,"2026-08-17 13:10:00","2026-08-17 20:40:00"
6990,"DRA. LUIZA PEREIRA DAS NEVES CARDOSO (ULTRASSONOGRAFIA)","1468800","CONFIRMED",9,"2026-08-17 13:20:00","2026-08-17 19:20:00"
6961,"DRA JESSICA WIESELTHALLER VICENTE (ESTETICA)","1468786","CONFIRMED",5,"2026-08-13 17:00:00","2026-08-17 17:10:00"
6929,"DR. MARCELLO GOETTNAUER DOS SANTOS (DENTISTA)","937475","CONFIRMED",2,"2026-08-14 19:30:00","2026-08-14 20:30:00"
6992,"DR. IGOR DONADEL FELTRIN (ULTRASSONOGRAFIA)","1468776","CONFIRMED",3,"2026-08-14 16:30:00","2026-08-14 18:20:00"
2308,"SERVIÇOS DE ENCEFALOGRAFIA DE PETRÓPOLIS",NULL,"BOOKED",2,"2026-08-13 10:00:00","2026-08-14 10:00:00"
4799,"DRA. LUEYNE HOTZ DE VASCONCELLOS (FONOAUDIÓLOGA)",NULL,"BOOKED",2,"2026-08-12 10:00:00","2026-08-14 10:00:00"
6881,"DRA. ADRIANA GONCALVES DA COSTA (PSICÓLOGA)","937733","BOOKED",2,"2026-08-13 18:00:00","2026-08-13 19:40:00"
6815,"DR. JONAS PESSOA (ULTRASSONOGRAFIA)",NULL,"CONFIRMED",8,"2026-08-13 18:20:00","2026-08-13 19:30:00"
6784,"RR IMAGEM - Unidade Arabella",NULL,"BOOKED",1,"2026-08-13 10:00:00","2026-08-13 10:00:00"
1766,"COR DIAGNOSE",NULL,"BOOKED",1,"2026-08-12 10:00:00","2026-08-12 10:00:00"
1635,"ENDOCLINIC",NULL,"BOOKED",1,"2026-08-12 10:00:00","2026-08-12 10:00:00"
